gene_name,cont1,chlor1,nor1,cont2,chlor2,nor2,r_chlor1,r_chlor2,r_nor1,r_nor2
aas,0.0007625219038808784,0.000863597031123171,0.0007427886718026227,0.0009379379042241907,0.0009443572818382955,0.0009426466478738295,0.17957950326287273,0.009840369590727044,-0.03782696736396191,0.007224663524085822
aat,0.00012719817119272747,0.00011821622710161991,0.0001243859472565962,0.0001668692571715508,0.0001297157424558958,0.00013296211255870615,-0.10564984575843991,-0.3633646097151268,-0.03225442483956437,-0.32770297754955946
abgA,0.0003344511354438149,0.00027852980251704345,0.0002485367603973955,0.00027097117907673847,0.0003057823543240526,0.00029554290394404905,-0.2639637398422441,0.1743657435876648,-0.4283361904701549,0.12522816913873205
abgB,0.0001258639246417548,0.0001072193687665855,0.00010486981564544786,0.0001158389032964588,9.203481984017286e-05,8.885603647991016e-05,-0.23129928765178243,-0.33186815971598194,-0.2632653430867781,-0.38257815398366796
abgR,0.0002128123248801402,0.00016907669690115405,0.00016271280813150206,0.0002214717358178992,0.00017239855745423684,0.00017899984160445672,-0.3319038728289343,-0.36137489133278067,-0.38725388702450153,-0.3071642831918938
abgT,0.00020858721080206007,0.0001845410289347962,0.0002165585206490078,0.00020463171903911887,0.0001890715320629638,0.00017642430431518395,-0.17670909821211225,-0.11409763071592778,0.05410623340075842,-0.2139804669653158
abrB,0.0005365894879161737,0.0004587751836647168,0.00031037703285199817,0.00048223684411961924,0.0005098595635348708,0.00041627121437870957,-0.22603143732298323,0.08035804304913396,-0.7897969861451359,-0.21221808276910273
aceA,0.0003655835549665104,0.0003625526732331657,0.0003599903312851584,0.00043579922209328555,0.00033445987065106297,0.0003827892296181637,-0.01201056376928373,-0.3818304982115458,-0.022243016357095687,-0.18711338334575667
aceB,0.00021770456223370663,0.00018282276981994707,0.0001490750294152779,0.00022402325351165381,0.00017239855745423684,0.00017674624647634306,-0.2519258777846538,-0.3779007884236598,-0.5463330196394883,-0.3419689140010815
aceK,0.00019568949414265765,0.0001957097131813155,0.00016812089279483232,0.00015870440055153608,0.00016272823218117522,0.00015260058438941094,0.00014905450130382029,0.03612243822904771,-0.21906728203410852,-0.056581644703265495
ackA,2.6462556594291204e-05,2.663301628016146e-05,3.47998491379513e-05,3.419033709631163e-05,2.2008326483519598e-05,3.316004259938677e-05,0.009263378284145685,-0.6355392003025551,0.3951286021458055,-0.04414278674547597
acnA,0.0004978963379379665,0.00048454907038745365,0.00039243883926514,0.000509282931673418,0.0004981884813087618,0.0004417046451102781,-0.039202629248590345,-0.03177570175125946,-0.3433775736651997,-0.2053853626353702
acnB,0.0001707835585245012,0.00021100221930347274,0.00037833079231732196,0.00018779170226033848,0.00022908667112390854,0.00034286840163443597,0.30508908096687504,0.2867602035578515,1.1474791098270898,0.8685216355852658
acpH,0.00016255570479350312,0.00016203183453027264,0.0001340264460042719,0.00011175647498645143,0.00018907153206296383,0.00011267975640568318,-0.004656898959489118,0.7585737361378196,-0.27841648707553407,0.011869928760233463
acpS,0.00029464611333979704,0.0003976051591760879,0.00040772255679194297,0.0003908925106832046,0.0003891472273676874,0.00041208596628364134,0.43235324108741746,-0.006455865420845116,0.46860453870871027,0.07617338949148326
acpT,0.0004051662026453662,0.0004034472401665749,0.0004627439398884335,0.00040313979561322667,0.0004091547968981598,0.0004130517927671186,-0.006133814374147058,0.02136656139520382,0.19170026136198828,0.03504248855429524
acrA,0.00029753698086690445,0.0003281874909361832,0.00022314227589132288,0.00045774227425957514,0.00037480846920418226,0.0001355376498479789,0.1414512585995019,-0.28838198390157127,-0.4151051237955522,-1.7558418753237874
acrB,0.00032533378401216836,0.00023419871735393596,0.00013684805539383553,0.00026586814368922924,0.00023775661792044657,0.00010205566508743306,-0.4741874710154258,-0.16122542503785614,-1.2493457114054038,-1.381354655610023
acrD,0.0005032333241418571,0.0005309420664883801,0.0005452760145331695,0.00044192286455829656,0.0004841831826374311,0.00042399782624652786,0.07732698984269609,0.1317583940657896,0.11575923520391075,-0.05973770794113255
acrE,0.000254618716810617,0.0002051601383129857,0.00017893706212149287,0.0001566631863965324,0.00017039780050118962,0.0001548541795175246,-0.3115880254016496,0.12124050636420566,-0.5088862396559612,-0.01675588507105953
acrF,0.00037647990179945384,0.00034674468937655374,0.00040231447212861265,0.0003908925106832046,0.0003227887884249541,0.0003390050957005268,-0.11869906247143286,-0.27618147385359876,0.09575078641857085,-0.2054649843701624
acrR,0.00032511140958700624,0.0003032727337708708,0.00030120680233591634,0.0002204511287403974,0.00026043186338831526,0.00038955001500250473,-0.1003183914760432,0.2404471067752746,-0.1101798357859916,0.8213497065275661
acrZ,5.3814610889230853e-05,5.8077158081900475e-05,3.832686087490583e-05,7.348370958013246e-05,5.9689249099242546e-05,4.1208596628364134e-05,0.10997293532544124,-0.29995335338129203,-0.4896420832187175,-0.8344791249132344
acs,0.0006382146002152584,0.0006790560021883748,0.0006562593171893386,0.0007588213621226178,0.0007146036917300379,0.0007185749037070995,0.08948894633947944,-0.08661692657910712,0.04022438732781686,-0.07862174369415337
actP,0.00046365067646300136,0.0004587751836647168,0.00073291303893915,0.00045672166718207325,0.00044750263849823184,0.00048065964661052856,-0.015250905439257978,-0.02941904515467121,0.6606037711181412,0.07370045451200055
